,REGIONID,PRODUCTGROUP,YEARWEEK,VOLUME,MA,MA2
0,A01,ST0001,201401,513598,457379.6666666667,457379.6666666667
1,A01,ST0001,201402,438251,457642.5,457642.5
2,A01,ST0001,201403,420290,462590.2,462590.2
3,A01,ST0001,201404,458431,473953.0,473953.0
4,A01,ST0001,201405,482381,510381.2,510381.2
5,A01,ST0001,201406,570412,540679.4,540679.4
6,A01,ST0001,201407,620392,562902.2,562902.2
7,A01,ST0001,201408,571781,568761.8,568761.8
8,A01,ST0001,201409,569545,559636.8,559636.8
9,A01,ST0001,201410,511679,532860.2,532860.2
10,A01,ST0001,201411,524787,512512.0,512512.0
11,A01,ST0001,201412,486509,484242.0,484242.0
12,A01,ST0001,201413,470040,543935.0,543935.0
13,A01,ST0001,201414,428195,591963.0,591963.0
14,A01,ST0001,201415,810144,634161.6,634161.6
15,A01,ST0001,201416,764927,674446.4,674446.4
16,A01,ST0001,201417,697502,725358.8,725358.8
17,A01,ST0001,201418,671464,692455.2,692455.2
18,A01,ST0001,201419,682757,663527.8,663527.8
19,A01,ST0001,201420,645626,644648.2,644648.2
20,A01,ST0001,201421,620290,632451.2,632451.2
21,A01,ST0001,201422,603104,613822.4,613822.4
22,A01,ST0001,201423,610479,608437.0,608437.0
23,A01,ST0001,201424,589613,601723.2,601723.2
24,A01,ST0001,201425,618699,600911.0,600911.0
25,A01,ST0001,201426,586721,596321.0,596321.0
26,A01,ST0001,201427,599043,602574.8,602574.8
27,A01,ST0001,201428,587529,607631.8,607631.8
28,A01,ST0001,201429,620882,624515.2,624515.2
29,A01,ST0001,201430,643984,640208.4,640208.4
30,A01,ST0001,201431,671138,658569.0,658569.0
31,A01,ST0001,201432,677509,703617.2,703617.2
32,A01,ST0001,201433,679332,741489.4,741489.4
33,A01,ST0001,201434,846123,772658.0,772658.0
34,A01,ST0001,201435,833345,780612.4,780612.4
35,A01,ST0001,201436,826981,783435.8,783435.8
36,A01,ST0001,201437,717281,741445.0,741445.0
37,A01,ST0001,201438,693449,704203.0,704203.0
38,A01,ST0001,201439,636169,663753.8,663753.8
39,A01,ST0001,201440,647135,648133.4,648133.4
40,A01,ST0001,201441,624735,635024.8,635024.8
41,A01,ST0001,201442,639179,632417.4,632417.4
42,A01,ST0001,201443,627906,627308.8,627308.8
43,A01,ST0001,201444,623132,631351.6,631351.6
44,A01,ST0001,201445,621592,639890.4,639890.4
45,A01,ST0001,201446,644949,735042.2,735042.2
46,A01,ST0001,201447,681873,777495.4,777495.4
47,A01,ST0001,201448,1103665,803699.6,803699.6
48,A01,ST0001,201449,835398,847347.6,847347.6
49,A01,ST0001,201450,752613,950407.0,950407.0
50,A01,ST0001,201451,863189,881122.2,881122.2
51,A01,ST0001,201452,1197170,816762.2,816762.2
52,A01,ST0001,201453,757241,753889.8,753889.8
53,A01,ST0001,201501,513598,665310.0,665310.0
54,A01,ST0001,201502,438251,517562.2,517562.2
55,A01,ST0001,201503,420290,462590.2,462590.2
56,A01,ST0001,201504,458431,473953.0,473953.0
57,A01,ST0001,201505,482381,510381.2,510381.2
58,A01,ST0001,201506,570412,540679.4,540679.4
59,A01,ST0001,201507,620392,562902.2,562902.2
60,A01,ST0001,201508,571781,568761.8,568761.8
61,A01,ST0001,201509,569545,559636.8,559636.8
62,A01,ST0001,201510,511679,532860.2,532860.2
63,A01,ST0001,201511,524787,512512.0,512512.0
64,A01,ST0001,201512,486509,484242.0,484242.0
65,A01,ST0001,201513,470040,543935.0,543935.0
66,A01,ST0001,201514,428195,591963.0,591963.0
67,A01,ST0001,201515,810144,634161.6,634161.6
68,A01,ST0001,201516,764927,674446.4,674446.4
69,A01,ST0001,201517,697502,725358.8,725358.8
70,A01,ST0001,201518,671464,692455.2,692455.2
71,A01,ST0001,201519,682757,663527.8,663527.8
72,A01,ST0001,201520,645626,644648.2,644648.2
73,A01,ST0001,201521,620290,632451.2,632451.2
74,A01,ST0001,201522,603104,613822.4,613822.4
75,A01,ST0001,201523,610479,608437.0,608437.0
76,A01,ST0001,201524,589613,601723.2,601723.2
77,A01,ST0001,201525,618699,600911.0,600911.0
78,A01,ST0001,201526,586721,596321.0,596321.0
79,A01,ST0001,201527,599043,602574.8,602574.8
80,A01,ST0001,201528,587529,607631.8,607631.8
81,A01,ST0001,201529,620882,624515.2,624515.2
82,A01,ST0001,201530,643984,640208.4,640208.4
83,A01,ST0001,201531,671138,658569.0,658569.0
84,A01,ST0001,201532,677509,703617.2,703617.2
85,A01,ST0001,201533,679332,741489.4,741489.4
86,A01,ST0001,201534,846123,772658.0,772658.0
87,A01,ST0001,201535,833345,780612.4,780612.4
88,A01,ST0001,201536,826981,783435.8,783435.8
89,A01,ST0001,201537,717281,741445.0,741445.0
90,A01,ST0001,201538,693449,704203.0,704203.0
91,A01,ST0001,201539,636169,663753.8,663753.8
92,A01,ST0001,201540,647135,648133.4,648133.4
93,A01,ST0001,201541,624735,635024.8,635024.8
94,A01,ST0001,201542,639179,632417.4,632417.4
95,A01,ST0001,201543,627906,627308.8,627308.8
96,A01,ST0001,201544,623132,631351.6,631351.6
97,A01,ST0001,201545,621592,639890.4,639890.4
98,A01,ST0001,201546,644949,735042.2,735042.2
99,A01,ST0001,201547,681873,777495.4,777495.4
100,A01,ST0001,201548,1103665,803699.6,803699.6
101,A01,ST0001,201549,835398,847347.6,847347.6
102,A01,ST0001,201550,752613,950407.0,950407.0
103,A01,ST0001,201551,863189,881122.2,881122.2
104,A01,ST0001,201552,1197170,844291.2,844291.2
105,A01,ST0001,201553,757241,808408.2,808408.2
106,A01,ST0001,201601,651243,742044.8,742044.8
107,A01,ST0001,201602,573198,619615.8,619615.8
108,A01,ST0001,201603,531372,600377.4,600377.4
109,A01,ST0001,201604,585025,646436.0,646436.0
110,A01,ST0001,201605,661049,689882.4,689882.4
111,A01,ST0001,201606,881536,717831.2,717831.2
112,A01,ST0001,201607,790430,727908.6,727908.6
113,A01,ST0001,201608,671116,839337.6,839337.6
114,A01,ST0001,201609,635412,865346.6,865346.6
115,A01,ST0001,201610,1218194,866143.2,866143.2
116,A01,ST0001,201611,1011581,909205.4,909205.4
117,A01,ST0001,201612,794413,930118.4,930118.4
118,A01,ST0001,201613,886427,822173.0,822173.0
